ID,Country,Lat,Long,Year,Month,Day,NAFO,Length,Age,Sex
HI_SS0122,Canada,46.78159,-63.23878,2018,6,7,4T,351,4,F
HI_SS0123,Canada,46.78159,-63.23878,2018,6,7,4T,333,4,F
HI_SS0124,Canada,46.78159,-63.23878,2018,6,7,4T,365,4,M
HI_SS0125,Canada,46.78159,-63.23878,2018,6,7,4T,350,4,F
HI_SS0126,Canada,46.78159,-63.23878,2018,6,7,4T,362,5,F
HI_SS0127,Canada,46.78159,-63.23878,2018,6,7,4T,341,5,M
HI_SS0128,Canada,46.78159,-63.23878,2018,6,7,4T,341,4,F
HI_SS0129,Canada,46.78159,-63.23878,2018,6,7,4T,343,5,M
HI_SS0131,Canada,46.78159,-63.23878,2018,6,7,4T,347,3,M
HI_SS0132,Canada,46.78159,-63.23878,2018,6,7,4T,346,4,F
HI_SS0133,Canada,46.78159,-63.23878,2018,6,7,4T,325,3,F
HI_SS0134,Canada,46.78159,-63.23878,2018,6,7,4T,359,4,M
HI_SS0142,Canada,46.78159,-63.23878,2018,6,7,4T,325,4,F
HI_SS0145,Canada,46.78159,-63.23878,2018,6,7,4T,303,3,F
HI_SS0146,Canada,46.78159,-63.23878,2018,6,7,4T,315,3,F
HI_SS0147,Canada,46.78159,-63.23878,2018,6,7,4T,308,3,M
HI_SS0149,Canada,46.78159,-63.23878,2018,6,7,4T,320,4,M
HI_SS0150,Canada,46.78159,-63.23878,2018,6,7,4T,301,3,F
HI_SS0151,Canada,46.78159,-63.23878,2018,6,7,4T,340,4,M
HI_SS0193,Canada,44.0045,-63.18783,2018,7,14,4WX,340,3,F
HI_SS0194,Canada,44.0045,-63.18783,2018,7,14,4WX,288,3,M
HI_SS0195,Canada,44.0045,-63.18783,2018,7,14,4WX,297,3,M
HI_SS0196,Canada,44.0045,-63.18783,2018,7,14,4WX,284,3,M
HI_SS0197,Canada,44.0045,-63.18783,2018,7,14,4WX,296,3,M
HI_SS0198,Canada,44.0045,-63.18783,2018,7,14,4WX,317,4,F
HI_SS0199,Canada,44.0045,-63.18783,2018,7,14,4WX,275,2,F
HI_SS0201,Canada,44.0045,-63.18783,2018,7,14,4WX,272,3,M
HI_SS0215,Canada,43.54617,-63.224,2018,7,15,4WX,320,3,F
HI_SS0218,Canada,43.54617,-63.224,2018,7,15,4WX,334,4,F
HI_SS0222,Canada,43.54617,-63.224,2018,7,15,4WX,305,3,M
HI_SS0230,Canada,43.62883,-63.99633,2018,7,15,4WX,302,3,M
HI_SS0234,Canada,43.67017,-63.62333,2018,7,15,4WX,293,3,F
HI_SS0240,Canada,43.37467,-63.2235,2018,7,15,4WX,319,4,F
HI_SS0241,Canada,43.37467,-63.2235,2018,7,15,4WX,279,3,M
HI_SS0242,Canada,43.37467,-63.2235,2018,7,15,4WX,285,3,M
HI_SS0247,Canada,43.37467,-63.2235,2018,7,15,4WX,280,3,M
HI_SS0248,Canada,43.37467,-63.2235,2018,7,15,4WX,291,3,F
HI_SS0252,Canada,43.32267,-63.29133,2018,7,15,4WX,303,3,F
HI_SS0254,Canada,43.32267,-63.29133,2018,7,15,4WX,294,3,M
HI_SS0256,Canada,43.32267,-63.29133,2018,7,15,4WX,295,3,F
HI_SS0257,Canada,43.32267,-63.29133,2018,7,15,4WX,310,3,F
HI_SS0258,Canada,43.32267,-63.29133,2018,7,15,4WX,304,3,F
HI_SS0259,Canada,43.32267,-63.29133,2018,7,15,4WX,274,3,M
HI_SS0260,Canada,43.21833,-64.387,2018,7,16,4WX,286,3,M
HI_SS0261,Canada,43.21833,-64.387,2018,7,16,4WX,280,3,F
HI_SS0262,Canada,43.21833,-64.387,2018,7,16,4WX,273,3,F
HI_SS0264,Canada,43.55867,-64.07817,2018,7,16,4WX,305,3,F
HI_SS0265,Canada,43.55867,-64.07817,2018,7,16,4WX,310,3,F
HI_SS0268,Canada,43.55867,-64.07817,2018,7,16,4WX,280,3,M
HI_SS0269,Canada,43.55867,-64.07817,2018,7,16,4WX,277,3,M
HI_SS0273,Canada,42.74217,-66.051,2018,7,20,4WX,293,3,F
HI_SS0277,Canada,42.74217,-66.051,2018,7,20,4WX,255,3,M
HI_SS0280,Canada,44.4265,-66.83933,2018,7,22,4WX,274,3,F
HI_SS0282,Canada,44.4265,-66.83933,2018,7,22,4WX,273,3,M
HI_SS0286,Canada,43.6505,-64.35067,2018,7,16,4WX,290,3,F
NS_SS1451,Canada,47.94462,-65.55209,2019,6,12,4T,392,7,M
NS_SS1404,Canada,47.94462,-65.55209,2019,7,30,4T,305,4,M
NS_SS1252,Canada,45.083333333333336,-55.25,2019,7,9,3Ps4Vn,327,3,F
NS_SS1371,Canada,51.43718,-56.443600000000004,2019,8,22,4RS,321,4,F
NS_SS1146,Europe,64.8,-30.7,2019,"NA","NA",Groenland,"NA","NA","NA"
NS_SS0963,US,40.290205,-71.79735,2019,3,20,6AB,310,4,F
NS_SS0983,US,39.906877,-72.784867,2019,3,27,6AB,265,2,F
NS_SS0965,US,40.571258,-69.684642,2019,4,12,5YZe,"NA","NA","NA"
NS_SS0754,US,41.422333,-69.2965,2019,4,15,5YZe,255,2,F
NS_SS1432,Canada,47.94462,-65.55209,2019,6,12,4T,357,5,M
NS_SS1405,Canada,47.94462,-65.55209,2019,7,30,4T,308,4,M
NS_SS0719,US,39.437388,-73.182757,2019,3,28,6AB,190,1,F
NS_SS1157,Europe,64.8,-30.7,2019,"NA","NA",Groenland,"NA","NA","NA"
NS_SS1144,Europe,64.8,-30.7,2019,"NA","NA",Groenland,"NA","NA","NA"
NS_SS1374,Canada,51.43718,-56.443600000000004,2019,8,22,4RS,325,4,F
NS_SS1431,Canada,47.94462,-65.55209,2019,6,12,4T,317,4,F
NS_SS1337,Canada,50.78968,-57.3136,2019,8,17,4RS,311,4,M
NS_SS0729,US,40.127365,-71.261828,2019,3,31,5Zw,340,4,M
NS_SS0838,US,41.924492,-69.808977,2019,4,17,5YZe,175,1,F
NS_SS1402,Canada,47.94462,-65.55209,2019,7,30,4T,356,4,M
NS_SS0967,US,40.333798,-71.478245,2019,3,20,5Zw,265,2,F
NS_SS1074,Europe,64.8,-30.7,2019,"NA","NA",Groenland,"NA","NA","NA"
NS_SS1001,US,39.543782,-73.095765,2019,3,28,6AB,230,2,M
NS_SS0839,US,41.924492,-69.808977,2019,4,17,5YZe,190,1,M
NS_SS0936,US,39.909567,-72.074425,2019,3,20,6AB,260,2,M
NS_SS0955,US,40.101017,-72.170313,2019,3,20,6AB,260,2,F
NS_SS1385,Canada,51.43718,-56.443600000000004,2019,8,22,4RS,317,2,F
NS_SS1388,Canada,51.43718,-56.443600000000004,2019,8,22,4RS,300,4,M
NS_SS1450,Canada,47.94462,-65.55209,2019,6,12,4T,397,8,F
NS_SS1261,Canada,46.79833,-60.29111,2019,6,21,3Ps4Vn,325,4,M
NS_SS1396,Canada,47.94462,-65.55209,2019,7,30,4T,317,4,F
NS_SS1393,Canada,47.94462,-65.55209,2019,7,30,4T,359,4,F
NS_SS0944,US,39.966933,-71.78015,2019,3,20,6AB,330,4,M
NS_SS1225,Canada,45.095,-54.617,2019,5,30,3Ps4Vn,324,3,M
NS_SS0945,US,39.966933,-71.78015,2019,3,20,6AB,275,4,M
